words@bje1946m	@bje1946m	379.565	379.91	захватывает
words@bje1946m	@bje1946m	379.91	380.255	публику
words@bje1946m	@bje1946m	380.255	380.6	/
words@bje1946m	@bje1946m	380.6	380.945	которое
words@bje1946m	@bje1946m	380.945	381.29	так
words@bje1946m	@bje1946m	381.29	381.635	сказать
words@bje1946m	@bje1946m	381.635	381.98	притягивает
words@bje1946m	@bje1946m	381.98	382.325	публику
words@bje1946m	@bje1946m	382.325	382.67	и
words@bje1946m	@bje1946m	382.67	383.015	вот
words@bje1946m	@bje1946m	383.015	383.36	/
words@bje1946m	@bje1946m	383.36	383.705	так
words@bje1946m	@bje1946m	383.705	384.05	сказать
words@bje1946m	@bje1946m	384.05	384.395	/
words@bje1946m	@bje1946m	384.395	384.74	создает
words@bje1946m	@bje1946m	384.74	385.085	какой-то
words@bje1946m	@bje1946m	385.085	385.43	особый
words@bje1946m	@bje1946m	385.43	385.775	контакт
words@bje1946m	@bje1946m	385.775	386.12	между
words@bje1946m	@bje1946m	386.12	386.465	зрителем
words@bje1946m	@bje1946m	386.465	386.81	и
words@bje1946m	@bje1946m	386.81	387.155	сценой
words@bje1946m	@bje1946m	387.155	387.5	/
words@bje1946m	@bje1946m	387.5	387.91	/
words@bje1946m	@bje1946m	388.29	388.642	и
words@bje1946m	@bje1946m	388.642	388.994	вот
words@bje1946m	@bje1946m	388.994	389.346	/
words@bje1946m	@bje1946m	389.346	389.698	к
words@bje1946m	@bje1946m	389.698	390.05	этому
words@bje1946m	@bje1946m	390.05	390.402	эмоцианольному
words@bje1946m	@bje1946m	390.402	390.754	контакту
words@bje1946m	@bje1946m	390.754	391.106	к
words@bje1946m	@bje1946m	391.106	391.458	этому
words@bje1946m	@bje1946m	391.458	391.81	/
words@bje1946m	@bje1946m	391.81	392.162	какому-то
words@bje1946m	@bje1946m	392.162	392.514	моменту
words@bje1946m	@bje1946m	392.514	392.866	сопереживания
words@bje1946m	@bje1946m	392.866	393.218	/
words@bje1946m	@bje1946m	393.218	393.57	к
words@bje1946m	@bje1946m	393.57	393.922	моменту
words@bje1946m	@bje1946m	393.922	394.274	потрясения
words@bje1946m	@bje1946m	394.274	394.626	/
words@bje1946m	@bje1946m	394.626	394.978	которого
words@bje1946m	@bje1946m	394.978	395.33	должен
words@bje1946m	@bje1946m	395.33	395.682	нести
words@bje1946m	@bje1946m	395.682	396.034	настоящий
words@bje1946m	@bje1946m	396.034	396.386	театр
words@bje1946m	@bje1946m	396.386	396.738	/
words@bje1946m	@bje1946m	396.738	397.09	мы
words@bje1946m	@bje1946m	397.09	397.442	к
words@bje1946m	@bje1946m	397.442	397.794	этому
words@bje1946m	@bje1946m	397.794	398.146	стремимся
words@bje1946m	@bje1946m	398.146	398.498	/
words@bje1946m	@bje1946m	398.498	398.85	а
words@bje1946m	@bje1946m	398.85	399.202	для
words@bje1946m	@bje1946m	399.202	399.554	этого
words@bje1946m	@bje1946m	399.554	399.906	/
words@bje1946m	@bje1946m	399.906	400.258	конечно
words@bje1946m	@bje1946m	400.258	400.61	/
words@bje1946m	@bje1946m	400.61	400.962	нужны
words@bje1946m	@bje1946m	400.962	401.314	специальные
words@bje1946m	@bje1946m	401.314	401.666	актеры
words@bje1946m	@bje1946m	401.666	402.018	/
words@bje1946m	@bje1946m	402.018	402.37	нужны
words@bje1946m	@bje1946m	402.37	402.722	актеры
words@bje1946m	@bje1946m	402.722	403.074	обладающие
words@bje1946m	@bje1946m	403.074	403.426	такой
words@bje1946m	@bje1946m	403.426	403.778	разнасторонней
words@bje1946m	@bje1946m	403.778	404.13	#нрзб#
words@bje1946m	@bje1946m	404.13	404.482	как
words@bje1946m	@bje1946m	404.482	404.834	актеры
words@bje1946m	@bje1946m	404.834	405.186	/
words@bje1946m	@bje1946m	405.186	405.538	которые
words@bje1946m	@bje1946m	405.538	405.89	/
words@bje1946m	@bje1946m	405.89	406.242	м
words@bje1946m	@bje1946m	406.242	406.594	/
words@bje1946m	@bje1946m	406.594	406.946	обладают
words@bje1946m	@bje1946m	406.946	407.298	/
words@bje1946m	@bje1946m	407.298	407.65	м
